통계표,"4.1.1 시장금리(일별)"
항목명1,"  콜금리(1일, 전체거래)"
단위,"연%"
변환,"원자료"
2017/01/01,""
2017/01/02,"1.26"
2017/01/03,"1.24"
2017/01/04,"1.24"
2017/01/05,"1.24"
2017/01/06,"1.24"
2017/01/07,""
2017/01/08,""
2017/01/09,"1.24"
2017/01/10,"1.25"
2017/01/11,"1.24"
2017/01/12,"1.23"
2017/01/13,"1.24"
2017/01/14,""
2017/01/15,""
2017/01/16,"1.24"
2017/01/17,"1.23"
2017/01/18,"1.23"
2017/01/19,"1.24"
2017/01/20,"1.24"
2017/01/21,""
2017/01/22,""
2017/01/23,"1.24"
2017/01/24,"1.25"
2017/01/25,"1.25"
2017/01/26,"1.26"
2017/01/27,""
2017/01/28,""
2017/01/29,""
2017/01/30,""
2017/01/31,"1.25"
2017/02/01,"1.23"
2017/02/02,"1.23"
2017/02/03,"1.23"
2017/02/04,""
2017/02/05,""
2017/02/06,"1.22"
2017/02/07,"1.21"
2017/02/08,"1.22"
2017/02/09,"1.23"
2017/02/10,"1.23"
2017/02/11,""
2017/02/12,""
2017/02/13,"1.23"
2017/02/14,"1.23"
2017/02/15,"1.23"
2017/02/16,"1.22"
2017/02/17,"1.23"
2017/02/18,""
2017/02/19,""
2017/02/20,"1.23"
2017/02/21,"1.23"
2017/02/22,"1.24"
2017/02/23,"1.24"
2017/02/24,"1.24"
2017/02/25,""
2017/02/26,""
2017/02/27,"1.24"
2017/02/28,"1.26"
2017/03/01,""
2017/03/02,"1.24"
2017/03/03,"1.23"
2017/03/04,""
2017/03/05,""
2017/03/06,"1.20"
2017/03/07,"1.18"
2017/03/08,"1.23"
2017/03/09,"1.24"
2017/03/10,"1.24"
2017/03/11,""
2017/03/12,""
2017/03/13,"1.23"
2017/03/14,"1.23"
2017/03/15,"1.23"
2017/03/16,"1.22"
2017/03/17,"1.20"
2017/03/18,""
2017/03/19,""
2017/03/20,"1.22"
2017/03/21,"1.22"
2017/03/22,"1.22"
2017/03/23,"1.23"
2017/03/24,"1.22"
2017/03/25,""
2017/03/26,""
2017/03/27,"1.23"
2017/03/28,"1.22"
2017/03/29,"1.24"
2017/03/30,"1.25"
2017/03/31,"1.27"
2017/04/01,""
2017/04/02,""
2017/04/03,"1.25"
2017/04/04,"1.23"
2017/04/05,"1.23"
2017/04/06,"1.23"
2017/04/07,"1.23"
2017/04/08,""
2017/04/09,""
2017/04/10,"1.23"
2017/04/11,"1.23"
2017/04/12,"1.23"
2017/04/13,"1.23"
2017/04/14,"1.23"
2017/04/15,""
2017/04/16,""
2017/04/17,"1.23"
2017/04/18,"1.23"
2017/04/19,"1.23"
2017/04/20,"1.24"
2017/04/21,"1.24"
