#,시군구명,소재지,면적,용도지역1,이용상황,주위환경,지세명,공시지가,X,Y
13250,노원구, 상계동 1119-55,173,제3종일반주거지역,단독주택,기존 주택지대,평지,2100000,127.056292,37.675189
13251,노원구, 상계동 1120-13,185,제3종일반주거지역,단독주택,기존 주택지대,평지,2110000,127.057101,37.675781
13252,노원구, 상계동 1120-19,152,제2종일반주거지역,단독주택,기존 주택지대,평지,2100000,127.057571,37.675343
13253,노원구, 상계동 1120-59,185,제2종일반주거지역,주상용,성숙중인 상가지대,평지,3360000,127.057236,37.674953
13254,노원구, 상계동 1121-15,165,제2종일반주거지역,단독주택,일반 주택지대,평지,2090000,127.058288,37.67516
13255,노원구, 상계동 1121-36,168,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,2840000,127.058735,37.674758
13256,노원구, 상계동 1122-3,333,제2종일반주거지역,다세대,기존 주택지대,평지,2000000,127.059424,37.67498
13257,노원구, 상계동 1132-15,542,자연녹지지역,상업용,노선 상가지대,평지,2690000,127.054673,37.678582
13258,노원구, 상계동 1132-66,504,준주거지역,상업용,노선 상가지대,평지,4350000,127.053849,37.678305
13259,노원구, 상계동 1132-73,280,준주거지역,상업용,노선 상가지대,평지,5550000,127.055032,37.677161
13260,노원구, 상계동 1132-105,219,준주거지역,상업용,노선 상가지대,평지,5370000,127.055573,37.677382
13261,노원구, 상계동 1141-3,278,제3종일반주거지역,상업용,노선 상가지대,평지,3600000,127.052895,37.678477
13262,노원구, 상계동 1146-13,795,자연녹지지역,상업용,노선 상가지대,평지,2420000,127.052276,37.678977
13264,노원구, 상계동 1214-4,1276,개발제한구역,주상용,미개발지대,완경사지,1390000,127.058913,37.683112
13265,노원구, 상계동 1239,555,개발제한구역,주거기타,미개발지대,평지,906000,127.060109,37.682626
13266,노원구, 상계동 1255,39255.9,제3종일반주거지역,아파트,아파트지대,평지,2890000,127.053762,37.681593
13267,노원구, 상계동 1258,2485.6,일반상업지역,상업용,미성숙 상가지대,평지,4430000,127.05489,37.680313
13268,노원구, 상계동 1275,10829,제3종일반주거지역,아파트,아파트지대,평지,2730000,127.079557,37.665759
