#,시군구명,소재지,면적,용도지역1,이용상황,주위환경,지세명,공시지가,X,Y
1,종로구, 청운동 4-15,416.2,제1종일반주거지역,단독주택,기존 주택지대,완경사지,3120000,126.967416,37.590144
2,종로구, 청운동 8-9,811.3,제1종일반주거지역,연립주택,일반 주택지대,급경사지,2920000,126.966764,37.588967
3,종로구, 청운동 15-12,552.1,제1종일반주거지역,단독주택,고급 주택지대,평지,4320000,126.968597,37.589884
4,종로구, 청운동 15-13,538.8,제1종일반주거지역,단독주택,고급 주택지대,완경사지,3800000,126.969087,37.589681
5,종로구, 청운동 15-32,251.2,제1종일반주거지역,단독주택,일반 주택지대,완경사지,2900000,126.969266,37.590656
6,종로구, 청운동 15-50,462.8,자연녹지지역,단독주택,기존 주택지대,완경사지,1540000,126.969906,37.590229
7,종로구, 청운동 30-15,332.5,제1종일반주거지역,단독주택,기존 주택지대,완경사지,3250000,126.96854,37.58828
8,종로구, 청운동 39-3,138.2,제1종일반주거지역,상업기타,노선 상가지대,평지,4780000,126.96916,37.587664
9,종로구, 청운동 50-31,380,제2종일반주거지역,상업용,노선 상가지대,평지,4870000,126.969583,37.586532
10,종로구, 청운동 50-39,217.9,제1종일반주거지역,단독주택,일반 주택지대,평지,3350000,126.968942,37.587058
11,종로구, 청운동 52-6,175.2,제2종일반주거지역,다세대,일반 주택지대,평지,3840000,126.968496,37.586595
12,종로구, 청운동 52-34,124.3,제2종일반주거지역,단독주택,기존 주택지대,평지,3820000,126.96902,37.58632
13,종로구, 청운동 52-61,115.7,제1종일반주거지역,단독주택,기존 주택지대,평지,3750000,126.967768,37.586831
14,종로구, 청운동 52-107,577.4,제1종일반주거지역,단독주택,일반 주택지대,완경사지,3860000,126.967006,37.587059
15,종로구, 청운동 53-11,643.8,제1종일반주거지역,다세대,고급 주택지대,완경사지,3380000,126.968425,37.58763
16,종로구, 청운동 56-10,514,제1종일반주거지역,단독주택,일반 주택지대,급경사지,3590000,126.966155,37.586394
17,종로구, 청운동 56-75,622.8,제1종일반주거지역,단독주택,일반 주택지대,급경사지,2800000,126.966186,37.585772
19,종로구, 청운동 57-40,281,제2종일반주거지역,단독주택,일반 주택지대,완경사지,3250000,126.968369,37.585927
20,종로구, 청운동 82,280.7,제2종일반주거지역,단독주택,일반 주택지대,평지,3600000,126.970785,37.585578
21,종로구, 청운동 89-5,1057.6,제1종일반주거지역,연립주택,일반 주택지대,평지,3550000,126.972639,37.586667
22,종로구, 청운동 89-22,412.2,제1종일반주거지역,다세대,고급 주택지대,평지,3870000,126.97149,37.585368
23,종로구, 청운동 89-109,601.2,제1종일반주거지역,주거기타,기존 주택지대,평지,3680000,126.972346,37.5857
24,종로구, 청운동 114-1,165.7,제2종일반주거지역,업무용,노선 상가지대,평지,5460000,126.970333,37.585547
25,종로구, 청운동 131,144.4,제2종일반주거지역,상업용,노선 상가지대,평지,5270000,126.96991,37.585021
27,종로구, 신교동 1-22,99.2,제1종일반주거지역,단독주택,기존 주택지대,급경사지,2290000,126.96692,37.585094
29,종로구, 신교동 2-89,350.9,제2종일반주거지역,단독주택,기존 주택지대,평지,3690000,126.967385,37.584215
30,종로구, 신교동 2-121,169.3,제1종일반주거지역,단독주택,기존 주택지대,급경사지,2550000,126.966356,37.584134
31,종로구, 신교동 6-1,261.5,제2종일반주거지역,다세대,기존 주택지대,평지,4500000,126.968328,37.58398
32,종로구, 신교동 6-4,208,제2종일반주거지역,단독주택,기존 주택지대,평지,3900000,126.968115,37.583843
33,종로구, 신교동 6-8,103.1,제2종일반주거지역,단독주택,기존 주택지대,평지,3000000,126.968448,37.583486
34,종로구, 신교동 17-13,66.8,제2종일반주거지역,다세대,기존 주택지대,평지,3500000,126.969244,37.583222
35,종로구, 신교동 17-42,47.8,제2종일반주거지역,다세대,기존 주택지대,평지,3100000,126.96877,37.583128
36,종로구, 신교동 31,141.5,제2종일반주거지역,상업용,주택 및 상가혼용지대,평지,4860000,126.969202,37.583798
37,종로구, 신교동 55,132.2,제2종일반주거지역,다세대,기존 주택지대,평지,3980000,126.969886,37.583471
38,종로구, 신교동 57,382,제2종일반주거지역,상업용,노선 상가지대,평지,7160000,126.970056,37.583437
39,종로구, 신교동 70-10,326.5,제2종일반주거지역,상업용,노선 상가지대,평지,5650000,126.969963,37.584454
40,종로구, 신교동 77-1,59.5,제2종일반주거지역,단독주택,기존 주택지대,평지,3100000,126.969601,37.584469
41,종로구, 궁정동 3-4,480.4,제1종일반주거지역,단독주택,기존 주택지대,평지,3940000,126.972322,37.584988
42,종로구, 궁정동 7-27,430.1,제2종일반주거지역,단독주택,기존 주택지대,평지,4460000,126.970811,37.584515
43,종로구, 궁정동 29-2,115.4,제2종일반주거지역,주상용,미성숙 상가지대,평지,4400000,126.971253,37.583663
44,종로구, 효자동 38,633.3,제2종일반주거지역,업무용,주택 및 상가혼용지대,평지,5440000,126.971337,37.581691
45,종로구, 효자동 45,309.9,제2종일반주거지역,다세대,기존 주택지대,평지,4000000,126.971594,37.581918
46,종로구, 효자동 55,436.4,제2종일반주거지역,상업용,노선 상가지대,평지,6880000,126.971011,37.582337
47,종로구, 효자동 60-4,109.1,제2종일반주거지역,단독주택,한옥지대,평지,3540000,126.971005,37.582796
48,종로구, 효자동 70-1,561.9,제2종일반주거지역,상업용,노선 상가지대,평지,7430000,126.970635,37.583315
49,종로구, 효자동 76-1,708.4,제2종일반주거지역,연립주택,기존 주택지대,평지,3810000,126.971364,37.58306
50,종로구, 효자동 77-8,142.1,제2종일반주거지역,단독주택,기존 주택지대,평지,3580000,126.971683,37.582865
51,종로구, 효자동 96-3,106.8,제2종일반주거지역,단독주택,기존 주택지대,평지,3830000,126.971824,37.582533
52,종로구, 효자동 164-18,88.3,제2종일반주거지역,단독주택,기존 주택지대,평지,3210000,126.972634,37.582071
53,종로구, 효자동 164-22,112.4,제2종일반주거지역,단독주택,기존 주택지대,평지,3900000,126.972781,37.582064
54,종로구, 효자동 165-1,171.9,제2종일반주거지역,단독주택,기존 주택지대,평지,3770000,126.972199,37.582374
55,종로구, 효자동 177,194,제2종일반주거지역,단독주택,기존 주택지대,평지,4470000,126.972704,37.581883
56,종로구, 창성동 21-7,139.8,제2종일반주거지역,다세대,기존 주택지대,평지,4080000,126.973043,37.580318
57,종로구, 창성동 35,143.2,제1종일반주거지역,주상용,기존 주택지대,평지,5270000,126.973544,37.580088
58,종로구, 창성동 43-5,293.3,제2종일반주거지역,단독주택,기존 주택지대,평지,3950000,126.973197,37.580635
59,종로구, 창성동 94-5,94,제2종일반주거지역,단독주택,기존 주택지대,평지,4000000,126.971901,37.581047
60,종로구, 창성동 98-18,95.9,제2종일반주거지역,단독주택,기존 주택지대,평지,4540000,126.971582,37.580359
61,종로구, 창성동 108-11,125.6,제2종일반주거지역,단독주택,기존 주택지대,평지,3750000,126.97208,37.580373
62,종로구, 창성동 122-6,71.5,제2종일반주거지역,단독주택,기존 주택지대,평지,3020000,126.972406,37.5797
63,종로구, 창성동 122-13,161.9,제2종일반주거지역,상업용,주택 및 상가혼용지대,평지,5100000,126.972657,37.579531
64,종로구, 창성동 126-3,41,제2종일반주거지역,주거기타,기존 주택지대,평지,4290000,126.972088,37.579751
65,종로구, 창성동 140,211.6,제2종일반주거지역,상업용,노선 상가지대,평지,7530000,126.971542,37.579971
66,종로구, 창성동 160,119,제2종일반주거지역,상업용,노선 상가지대,평지,8470000,126.971148,37.581464
67,종로구, 통의동 7-20,122.3,제2종일반주거지역,단독주택,한옥지대,평지,4100000,126.973236,37.578653
68,종로구, 통의동 7-38,164,제1종일반주거지역,상업용,주택 및 상가혼용지대,평지,5500000,126.973682,37.578332
69,종로구, 통의동 12,222.1,제2종일반주거지역,업무용,주택 및 상가혼용지대,평지,5400000,126.972831,37.57928
70,종로구, 통의동 17,211.6,제2종일반주거지역,단독주택,기존 주택지대,평지,3800000,126.972753,37.579162
71,종로구, 통의동 29-1,125.6,제2종일반주거지역,단독주택,기존 주택지대,평지,3700000,126.972806,37.578595
72,종로구, 통의동 35-4,35.7,제1종일반주거지역,상업용,노선 상가지대,평지,7400000,126.974033,37.57665
73,종로구, 통의동 35-31,561.3,제2종일반주거지역,단독주택,기존 주택지대,평지,4090000,126.972868,37.577424
74,종로구, 통의동 35-68,237.3,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,4400000,126.972802,37.578054
75,종로구, 통의동 59,92.6,제2종일반주거지역,상업용,노선 상가지대,평지,8800000,126.972426,37.577393
76,종로구, 통의동 67-3,64.5,제2종일반주거지역,상업용,노선 상가지대,평지,9000000,126.972226,37.577959
77,종로구, 통의동 81,122.3,제2종일반주거지역,상업용,후면 상가지대,평지,4200000,126.972281,37.578879
78,종로구, 통의동 109,128.3,제2종일반주거지역,상업용,노선 상가지대,평지,9700000,126.971618,37.579377
79,종로구, 적선동 1,544.8,제1종일반주거지역,상업용,노선 상가지대,평지,9800000,126.973992,37.576362
80,종로구, 적선동 20,152.4,제2종일반주거지역,상업용,후면 상가지대,평지,6800000,126.973663,37.576386
81,종로구, 적선동 27,122.3,제2종일반주거지역,상업용,주택 및 상가혼용지대,평지,6200000,126.973485,37.576186
82,종로구, 적선동 80,3778.1,일반상업지역,업무용,도심 업무지대,평지,20500000,126.973314,37.575383
83,종로구, 적선동 93-4,89.6,일반상업지역,상업용,노선 상가지대,평지,12200000,126.973056,37.576047
84,종로구, 적선동 99,86,제2종일반주거지역,상업용,후면 상가지대,평지,7400000,126.973073,37.576453
85,종로구, 적선동 102-1,230.1,제2종일반주거지역,상업용,노선 상가지대,평지,11500000,126.972768,37.576459
86,종로구, 적선동 156,2200.1,일반상업지역,업무용,도심 업무지대,평지,17000000,126.973576,37.574466
87,종로구, 통인동 31-13,82.6,제2종일반주거지역,단독주택,기존 주택지대,평지,3670000,126.969319,37.581069
88,종로구, 통인동 44,181.8,제2종일반주거지역,상업용,시장지대,평지,8160000,126.968722,37.580839
89,종로구, 통인동 46-2,152.1,제2종일반주거지역,상업용,시장지대,평지,6550000,126.969394,37.580556
90,종로구, 통인동 57,36.4,제2종일반주거지역,단독주택,기존 주택지대,평지,3360000,126.970022,37.580193
91,종로구, 통인동 64,142.1,제2종일반주거지역,단독주택,기존 주택지대,평지,3420000,126.969801,37.579794
92,종로구, 통인동 74,390.4,제2종일반주거지역,상업용,노선 상가지대,평지,6690000,126.969782,37.579542
93,종로구, 통인동 89-24,213.2,제2종일반주거지역,단독주택,일반 주택지대,평지,4680000,126.970576,37.580197
94,종로구, 통인동 94-1,54.5,제2종일반주거지역,상업용,시장지대,평지,7400000,126.970208,37.580663
95,종로구, 통인동 112,165.3,제2종일반주거지역,상업용,시장주변 상가지대,평지,8700000,126.970913,37.580453
96,종로구, 통인동 118-2,194,제2종일반주거지역,상업용,노선 상가지대,평지,8800000,126.971045,37.579913
97,종로구, 통인동 128-2,79.3,제2종일반주거지역,단독주택,일반 주택지대,평지,3680000,126.970515,37.579737
98,종로구, 통인동 135-4,338.9,제2종일반주거지역,상업용,노선 상가지대,평지,6570000,126.970351,37.579321
99,종로구, 통인동 147-5,234,제2종일반주거지역,단독주택,일반 주택지대,평지,5320000,126.970911,37.57893
100,종로구, 통인동 147-10,117.1,제2종일반주거지역,상업용,노선 상가지대,평지,9060000,126.971319,37.578879
101,종로구, 누상동 13,86,제2종일반주거지역,단독주택,기존 주택지대,완경사지,3030000,126.965956,37.581085
102,종로구, 누상동 29-3,178.5,제2종일반주거지역,주거기타,기존 주택지대,완경사지,3820000,126.965871,37.580679
103,종로구, 누상동 36-1,107,제2종일반주거지역,단독주택,기존 주택지대,완경사지,3310000,126.966146,37.580456
104,종로구, 누상동 55,105.2,제2종일반주거지역,주상용,주택 및 상가혼용지대,완경사지,5500000,126.967297,37.580718
105,종로구, 누상동 87,295.6,제2종일반주거지역,연립주택,일반 주택지대,완경사지,3900000,126.966938,37.580517
106,종로구, 누상동 112-1,56.2,제2종일반주거지역,다세대,기존 주택지대,완경사지,4000000,126.966694,37.580127
107,종로구, 누상동 147-5,59.5,제2종일반주거지역,다세대,기존 주택지대,완경사지,3400000,126.96722,37.57979
108,종로구, 누상동 148-6,80.2,제2종일반주거지역,다세대,기존 주택지대,완경사지,3950000,126.967161,37.579906
109,종로구, 누상동 153,59.5,제2종일반주거지역,단독주택,기존 주택지대,완경사지,3340000,126.966414,37.579882
110,종로구, 누상동 165-3,54.2,제2종일반주거지역,단독주택,일반 주택지대,완경사지,3700000,126.965801,37.580038
111,종로구, 누상동 166-66,241.3,제2종일반주거지역,연립주택,일반 주택지대,완경사지,3700000,126.965276,37.581178
112,종로구, 누상동 166-86,92.6,제2종일반주거지역,단독주택,기존 주택지대,완경사지,2920000,126.965511,37.579694
113,종로구, 누상동 166-103,162.6,제2종일반주거지역,다세대,기존 주택지대,급경사지,3460000,126.964852,37.580688
114,종로구, 누상동 166-120,151.9,제2종일반주거지역,다세대,기존 주택지대,급경사지,3920000,126.964567,37.58165
115,종로구, 누하동 22,175.5,제2종일반주거지역,상업용,노선 상가지대,평지,7200000,126.968812,37.580092
116,종로구, 누하동 32,125.6,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,5650000,126.969257,37.579816
117,종로구, 누하동 47,304.2,제2종일반주거지역,상업용,성숙중인 상가지대,평지,7500000,126.968909,37.579579
118,종로구, 누하동 84-2,62.8,제2종일반주거지역,단독주택,기존 주택지대,평지,3540000,126.967926,37.580291
119,종로구, 누하동 87-3,115.7,제2종일반주거지역,단독주택,기존 주택지대,평지,3450000,126.967655,37.580235
120,종로구, 누하동 109,85.3,제2종일반주거지역,단독주택,기존 주택지대,완경사지,4000000,126.967819,37.57984
121,종로구, 누하동 132-2,43,제2종일반주거지역,단독주택,기존 주택지대,평지,3450000,126.968389,37.579566
122,종로구, 누하동 147,126,제2종일반주거지역,단독주택,기존 주택지대,평지,3820000,126.968451,37.579143
123,종로구, 누하동 155-1,86,제1종일반주거지역,단독주택,한옥지대,완경사지,3820000,126.967702,37.579298
124,종로구, 누하동 203,86,제2종일반주거지역,단독주택,기존 주택지대,평지,4030000,126.969278,37.579132
125,종로구, 누하동 248,67,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,6820000,126.969321,37.578438
126,종로구, 누하동 274,62.8,제2종일반주거지역,단독주택,기존 주택지대,평지,3430000,126.968427,37.578449
127,종로구, 옥인동 2-17,125.6,제2종일반주거지역,단독주택,기존 주택지대,평지,4130000,126.96982,37.582542
128,종로구, 옥인동 10-1,156,제2종일반주거지역,상업용,노선 상가지대,평지,8200000,126.970272,37.582591
129,종로구, 옥인동 19-44,190.7,제2종일반주거지역,다세대,기존 주택지대,평지,4200000,126.969518,37.582215
130,종로구, 옥인동 22-1,367.2,제2종일반주거지역,주상기타,주택 및 상가혼용지대,평지,6100000,126.969279,37.581502
131,종로구, 옥인동 34-1,269.7,제2종일반주거지역,상업기타,주택 및 상가혼용지대,평지,6500000,126.968692,37.581388
132,종로구, 옥인동 45-9,652.2,제2종일반주거지역,업무용,노선 상가지대,평지,4600000,126.967559,37.58309
133,종로구, 옥인동 46-2,229,제1종일반주거지역,주거기타,일반 주택지대,완경사지,4120000,126.967175,37.583033
134,종로구, 옥인동 47-1,146.1,제1종일반주거지역,단독주택,기존 주택지대,완경사지,3300000,126.96674,37.583344
135,종로구, 옥인동 47-49,148.8,제2종일반주거지역,단독주택,일반 주택지대,평지,4900000,126.967881,37.581931
136,종로구, 옥인동 47-72,118.3,제1종일반주거지역,단독주택,기존 주택지대,완경사지,3520000,126.966531,37.582946
137,종로구, 옥인동 47-83,82.6,제1종일반주거지역,단독주택,일반 주택지대,급경사지,3120000,126.966174,37.582538
138,종로구, 옥인동 47-102,73.1,제1종일반주거지역,단독주택,일반 주택지대,완경사지,3350000,126.966908,37.582706
139,종로구, 옥인동 47-274,31.4,제1종일반주거지역,단독주택,기존 주택지대,급경사지,3000000,126.965477,37.583
140,종로구, 옥인동 47-368,72.4,제1종일반주거지역,단독주택,기존 주택지대,급경사지,3100000,126.965815,37.583138
141,종로구, 옥인동 47-414,129.3,제1종일반주거지역,단독주택,기존 주택지대,급경사지,2940000,126.966373,37.583684
142,종로구, 옥인동 47-482,442,제1종일반주거지역,단독주택,고급 주택지대,완경사지,4360000,126.966726,37.581939
143,종로구, 옥인동 47-484,407.1,제1종일반주거지역,단독주택,고급 주택지대,완경사지,4170000,126.96568,37.582236
144,종로구, 옥인동 61,92.6,제2종일반주거지역,주거나지,기존 주택지대,평지,3800000,126.967726,37.58165
145,종로구, 옥인동 102-6,62.8,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,6350000,126.96834,37.580619
146,종로구, 옥인동 126,79.3,제2종일반주거지역,단독주택,기존 주택지대,평지,3370000,126.967948,37.581157
147,종로구, 옥인동 143,96.2,제2종일반주거지역,주거기타,일반 주택지대,평지,3900000,126.967783,37.580795
148,종로구, 옥인동 159-3,76,제2종일반주거지역,단독주택,기존 주택지대,완경사지,3600000,126.967289,37.581295
149,종로구, 옥인동 172-1,59.5,제2종일반주거지역,주상용,주택 및 상가혼용지대,완경사지,5340000,126.96651,37.581162
150,종로구, 옥인동 178-20,118,제2종일반주거지역,다세대,기존 주택지대,급경사지,3700000,126.965412,37.581972
152,종로구, 체부동 9,104.2,제2종일반주거지역,단독주택,일반 주택지대,평지,3500000,126.969914,37.578975
153,종로구, 체부동 18,119.3,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,6000000,126.970482,37.578854
154,종로구, 체부동 20,241.4,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,6800000,126.970759,37.57846
155,종로구, 체부동 33-1,111.4,제2종일반주거지역,상업용,노선 상가지대,평지,10600000,126.971591,37.578044
156,종로구, 체부동 40,62.8,제3종일반주거지역,상업용,노선 상가지대,평지,11000000,126.971859,37.577514
157,종로구, 체부동 48,184.4,제3종일반주거지역,상업용,노선 상가지대,평지,12000000,126.972116,37.576931
158,종로구, 체부동 61,303.2,제2종일반주거지역,상업용,후면 상가지대,평지,5800000,126.971938,37.576695
159,종로구, 체부동 66,89.3,제2종일반주거지역,단독주택,기존 주택지대,평지,4000000,126.971605,37.576999
160,종로구, 체부동 79,76,제2종일반주거지역,단독주택,기존 주택지대,평지,4500000,126.971863,37.577226
161,종로구, 체부동 118-11,125.6,제2종일반주거지역,단독주택,한옥지대,평지,3600000,126.970524,37.578269
162,종로구, 체부동 127,210.9,제2종일반주거지역,단독주택,일반 주택지대,평지,4300000,126.970145,37.577815
163,종로구, 체부동 135,90.9,제2종일반주거지역,단독주택,일반 주택지대,평지,5000000,126.971064,37.577652
164,종로구, 체부동 150-4,81.4,제2종일반주거지역,단독주택,기존 주택지대,평지,3850000,126.970772,37.577496
165,종로구, 체부동 158,826.1,제1종일반주거지역,단독주택,기존 주택지대,평지,3800000,126.970149,37.5775
166,종로구, 체부동 192,135.5,제2종일반주거지역,상업용,시장지대,평지,9000000,126.971363,37.576546
167,종로구, 체부동 202,360.3,제2종일반주거지역,다세대,기존 주택지대,평지,3900000,126.970612,37.576819
168,종로구, 필운동 15,162,제1종일반주거지역,단독주택,기존 주택지대,완경사지,3650000,126.967153,37.578023
169,종로구, 필운동 22,110.1,제1종일반주거지역,다세대,기존 주택지대,급경사지,3300000,126.966556,37.577856
170,종로구, 필운동 32-3,165.3,제2종일반주거지역,단독주택,기존 주택지대,평지,3500000,126.968536,37.577116
171,종로구, 필운동 49,95.9,제2종일반주거지역,주상용,주택 및 상가혼용지대,완경사지,4600000,126.96769,37.577703
172,종로구, 필운동 54-1,141.6,제2종일반주거지역,주상용,주택 및 상가혼용지대,완경사지,3900000,126.968052,37.577715
173,종로구, 필운동 67,132.6,제2종일반주거지역,주상용,주택 및 상가혼용지대,완경사지,4200000,126.968504,37.577783
174,종로구, 필운동 89-2,115.7,제2종일반주거지역,주거기타,기존 주택지대,평지,3750000,126.969091,37.577869
175,종로구, 필운동 119,124.6,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,5500000,126.968959,37.576822
176,종로구, 필운동 124,109.1,제2종일반주거지역,단독주택,기존 주택지대,평지,3650000,126.968652,37.576883
177,종로구, 필운동 131,218.2,제2종일반주거지역,상업용,주택 및 상가혼용지대,평지,5500000,126.968292,37.576708
178,종로구, 필운동 146-1,289.7,제3종일반주거지역,주상용,주택 및 상가혼용지대,평지,7400000,126.969391,37.576655
179,종로구, 필운동 154,87.9,제3종일반주거지역,상업용,주택 및 상가혼용지대,평지,7500000,126.969547,37.576864
180,종로구, 필운동 165,201.7,제2종일반주거지역,단독주택,기존 주택지대,평지,3600000,126.969598,37.57726
181,종로구, 필운동 168,194.6,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,7300000,126.969538,37.577539
182,종로구, 필운동 195-4,102.5,제3종일반주거지역,단독주택,주택 및 상가혼용지대,평지,4700000,126.969698,37.576577
183,종로구, 필운동 202,71.1,제3종일반주거지역,상업용,주택 및 상가혼용지대,평지,8200000,126.970105,37.576598
184,종로구, 필운동 217-1,102.5,일반상업지역,상업용,노선 상가지대,평지,12800000,126.970234,37.576257
185,종로구, 필운동 240-4,133.6,일반상업지역,상업용,노선 상가지대,평지,9300000,126.969235,37.575644
186,종로구, 필운동 283-3,119,제3종일반주거지역,상업용,주택 및 상가혼용지대,평지,6100000,126.969643,37.575621
187,종로구, 필운동 289,307.2,제3종일반주거지역,상업용,노선 상가지대,평지,9000000,126.969487,37.575439
188,종로구, 내자동 9-2,92.6,제3종일반주거지역,상업용,시장지대,평지,9200000,126.971659,37.576422
189,종로구, 내자동 21-1,175.8,일반상업지역,상업용,노선 상가지대,평지,12000000,126.971117,37.576265
190,종로구, 내자동 62-4,25.8,일반상업지역,상업용,노선 상가지대,평지,12800000,126.972035,37.576246
191,종로구, 내자동 90,165.3,제3종일반주거지역,단독주택,기존 주택지대,평지,5300000,126.971344,37.575438
192,종로구, 내자동 101,119,제3종일반주거지역,단독주택,기존 주택지대,평지,5600000,126.97106,37.575498
193,종로구, 내자동 128-1,75.7,일반상업지역,상업용,노선 상가지대,평지,9800000,126.970909,37.575803
194,종로구, 내자동 146,69.4,제3종일반주거지역,상업용,주택 및 상가혼용지대,평지,7800000,126.970469,37.575673
195,종로구, 내자동 150-1,86,제3종일반주거지역,상업용,주택 및 상가혼용지대,평지,5200000,126.970606,37.575575
196,종로구, 내자동 167-1,99.2,제3종일반주거지역,상업나지,주택 및 상가혼용지대,평지,7400000,126.97044,37.575304
197,종로구, 내자동 177,151.4,제3종일반주거지역,상업용,노선 상가지대,평지,9000000,126.970674,37.57472
198,종로구, 내자동 185,128.9,제3종일반주거지역,상업용,주택 및 상가혼용지대,평지,6600000,126.971144,37.575157
199,종로구, 사직동 1-35,317.3,제1종일반주거지역,단독주택,일반 주택지대,완경사지,3600000,126.965854,37.575399
200,종로구, 사직동 9,20480.1,준주거지역,아파트,아파트지대,평지,8920000,126.968934,37.574488
201,종로구, 사직동 9-1,3914.6,제2종일반주거지역,아파트,아파트지대,평지,8050000,126.967782,37.573523
202,종로구, 사직동 262-15,619.6,제1종일반주거지역,단독주택,일반 주택지대,완경사지,3000000,126.965134,37.57505
203,종로구, 사직동 262-21,380.2,제1종일반주거지역,다세대,일반 주택지대,완경사지,3300000,126.966077,37.574788
205,종로구, 사직동 262-109,60.7,제2종일반주거지역,다세대,기존 주택지대,완경사지,3050000,126.965445,37.574656
207,종로구, 사직동 286,101.6,제2종일반주거지역,다세대,기존 주택지대,완경사지,3000000,126.96502,37.574283
208,종로구, 사직동 304-18,86.9,제1종일반주거지역,단독주택,기존 주택지대,완경사지,2600000,126.964782,37.573506
209,종로구, 사직동 310-12,62.8,제1종일반주거지역,주거나지,기존 주택지대,완경사지,2350000,126.965945,37.573714
210,종로구, 사직동 311-2,291.6,제1종일반주거지역,다세대,기존 주택지대,완경사지,3600000,126.966006,37.5734
211,종로구, 사직동 311-7,433.1,제2종일반주거지역,다세대,일반 주택지대,평지,4450000,126.966826,37.573875
212,종로구, 사직동 311-16,148.8,제2종일반주거지역,단독주택,기존 주택지대,완경사지,3500000,126.966665,37.573189
213,종로구, 사직동 311-35,125.6,제2종일반주거지역,업무용,노선 상가지대,평지,7200000,126.967117,37.574085
214,종로구, 사직동 311-43,178.5,제1종일반주거지역,단독주택,기존 주택지대,완경사지,3600000,126.966326,37.573186
215,종로구, 사직동 311-46,138.8,제1종일반주거지역,단독주택,기존 주택지대,완경사지,3500000,126.966184,37.57277
216,종로구, 사직동 311-63,116.7,제1종일반주거지역,단독주택,기존 주택지대,완경사지,3200000,126.966501,37.572791
217,종로구, 사직동 315-3,59.5,제1종일반주거지역,단독주택,기존 주택지대,완경사지,3400000,126.966272,37.572159
218,종로구, 사직동 323-2,79.1,제1종일반주거지역,단독주택,기존 주택지대,완경사지,3800000,126.966674,37.572541
219,종로구, 사직동 334-11,68.4,제1종일반주거지역,단독주택,기존 주택지대,완경사지,3200000,126.966803,37.572271
221,종로구, 도렴동 60,3291.9,일반상업지역,업무용,도심 업무지대,평지,19300000,126.974198,37.573669
222,종로구, 당주동 5,4190.9,일반상업지역,업무용,도심 업무지대,평지,21000000,126.974312,37.571994
223,종로구, 당주동 16-1,121.7,일반상업지역,상업용,도심 상가지대,평지,25000000,126.975031,37.571532
224,종로구, 당주동 22-1,283.6,일반상업지역,상업용,후면 상가지대,평지,24000000,126.975648,37.571132
225,종로구, 당주동 24-2,89.3,일반상업지역,상업용,후면 상가지대,평지,14000000,126.975275,37.571138
226,종로구, 당주동 42-2,256.9,일반상업지역,상업용,도심 상가지대,평지,20200000,126.975012,37.571271
227,종로구, 당주동 100,3687.1,일반상업지역,상업용,도심 업무지대,평지,19000000,126.973272,37.57185
228,종로구, 당주동 119,125.6,일반상업지역,상업용,후면 상가지대,평지,11300000,126.973956,37.572343
229,종로구, 당주동 167-2,122.3,일반상업지역,상업용,도심 업무지대,평지,10800000,126.974416,37.570986
230,종로구, 당주동 168,267.8,일반상업지역,상업용,도심 상가지대,평지,17000000,126.974551,37.57105
231,종로구, 내수동 5,205,일반상업지역,상업용,후면 상가지대,평지,17000000,126.973741,37.573197
232,종로구, 내수동 72,9311.7,준주거지역,주상용,주택 및 상가혼용지대,평지,14500000,126.972267,37.573328
233,종로구, 내수동 75,3623.4,일반상업지역,업무용,주택 및 상가혼용지대,평지,13200000,126.973195,37.573381
234,종로구, 내수동 110-7,252.2,제2종일반주거지역,주상기타,주택 및 상가혼용지대,평지,6000000,126.971002,37.573101
235,종로구, 내수동 110-9,347.4,제3종일반주거지역,상업용,주택 및 상가혼용지대,평지,6800000,126.9712,37.572715
236,종로구, 내수동 110-49,251.9,제2종일반주거지역,주상기타,주택 및 상가혼용지대,평지,6400000,126.971118,37.572949
237,종로구, 세종로 100,8349.6,일반상업지역,업무용,도심 업무지대,평지,40000000,126.977944,37.572143
238,종로구, 세종로 161-1,150.8,일반상업지역,상업용,노선 상가지대,평지,25000000,126.975937,37.571504
239,종로구, 세종로 173-1,86,일반상업지역,상업용,후면 상가지대,평지,16800000,126.97595,37.571432
240,종로구, 세종로 191-1,685,일반상업지역,업무용,중심 상가지대,평지,42000000,126.97616,37.570974
241,종로구, 세종로 202-1,139.5,일반상업지역,상업용,중심 상가지대,평지,41500000,126.976312,37.570588
242,종로구, 세종로 211,1077.7,일반상업지역,업무용,고밀도 상가지대,평지,46500000,126.976111,37.56955
243,종로구, 신문로1가 25,452.2,일반상업지역,상업용,번화한 상가지대,평지,36500000,126.974526,37.570437
244,종로구, 신문로1가 34,241.3,일반상업지역,상업용,번화한 상가지대,평지,32000000,126.973938,37.570387
245,종로구, 신문로1가 36,76.3,일반상업지역,상업기타,후면 상가지대,평지,10700000,126.973877,37.570657
